BBS Level 2,BBS Level 4a,ConBBSa,WFBS 1,WFBS 2,WFBS 3,WFBS 4,WFBS 5,WFBS 6,WFBS 7,WFBS 8,WFBS 9,WFBS 10,WFBS 11,WFBS 12,WFBS 13,WFBS 14,WFBS 15,WFBS 16,WFBS 17,WFBS 18,WFBS 19,WFBS 20,WFBS 21
4,12,412,Q0201,N0703,P0101,P0201,P0301,P0501,P0901,P001,P0102,P0202,P0302,P0502,P0902,P002,,,,,,,
4,13,413,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,,,,,,,,,,,,
4,14,414,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,,,,,,,,,,,
4,15,415,Q0302,,,,,,,,,,,,,,,,,,,,
4,16,416,M0408,,,,,,,,,,,,,,,,,,,,
5,1,51,Q0701,,,,,,,,,,,,,,,,,,,,
5,2,52,Q0709,,,,,,,,,,,,,,,,,,,,
5,3,53,Q0709,,,,,,,,,,,,,,,,,,,,
5,4,54,Q0709,,,,,,,,,,,,,,,,,,,,
5,5,55,Q0709,,,,,,,,,,,,,,,,,,,,
5,6,56,Q0701,,,,,,,,,,,,,,,,,,,,
5,7,57,Q0701,,,,,,,,,,,,,,,,,,,,
5,8,58,Q0701,,,,,,,,,,,,,,,,,,,,
5,9,59,Q0701,,,,,,,,,,,,,,,,,,,,
5,10,510,Q0701,,,,,,,,,,,,,,,,,,,,
5,11,511,Q0701,,,,,,,,,,,,,,,,,,,,
5,12,512,Q0701,,,,,,,,,,,,,,,,,,,,
5,13,513,Q0701,,,,,,,,,,,,,,,,,,,,
5,14,514,Q0701,,,,,,,,,,,,,,,,,,,,
5,15,515,Q0702,,,,,,,,,,,,,,,,,,,,
5,16,516,Q0701,,,,,,,,,,,,,,,,,,,,
6,1,61,Q0302,,,,,,,,,,,,,,,,,,,,
6,2,62,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
6,3,63,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
6,4,64,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
6,5,65,P0105,P0205,P0305,P0405,P0505,P0605,P0705,P0805,P0905,,,,,,,,,,,,
6,6,66,Q0201,,,,,,,,,,,,,,,,,,,,
6,7,67,N0102,N0202,N0302,,,,,,,,,,,,,,,,,,
6,8,68,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,
6,9,69,Q0201,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,,,,
6,10,610,Q0201,N0402,N0502,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902
6,11,611,Q0201,N0602,P0101,P0201,P0301,P0401,P0701,P0901,P0102,P0202,P0302,P0402,P0702,P0902,,,,,,,
6,12,612,Q0201,N0703,P0101,P0201,P0301,P0501,P0901,P001,P0102,P0202,P0302,P0502,P0902,P002,,,,,,,
6,13,613,P0101,P0201,P0301,P0401,P0501,P0601,P0701,P0801,P0901,,,,,,,,,,,,
6,14,614,P0102,P0202,P0302,P0402,P0502,P0602,P0702,P0802,P0902,,,,,,,,,,,,
6,15,615,Q0302,,,,,,,,,,,,,,,,,,,,
6,16,616,M0408,,,,,,,,,,,,,,,,,,,,
