BBSab,BBSb,WFBS1,WFBS2,WFBS3,WFBS4,WFBS5,WFBS6,WFBS7,WFBS8,WFBS9,WFBS10,WFBS11,WFBS12,WFBS13,WFBS14,WFBS15,WFBS16,WFBS17,WFBS18,WFBS19,WFBS20,WFBS21,WFBS22,WFBS23,WFBS24,WFBS25,WFBS26,WFBS27,WFBS28,WFBS29,WFBS30,WFBS31,WFBS32,WFBS33,WFBS34,WFBS35,WFBS36,WFBS37,WFBS38,WFBS39,WFBS40,WFBS41,WFBS42,WFBS43,WFBS44,WFBS45,WFBS46,WFBS47,WFBS48,WFBS49,WFBS50,WFBS51,WFBS52,WFBS53,WFBS54,WFBS55,WFBS56,WFBS57,WFBS58,WFBS59,WFBS60,WFBS61,WFBS62,WFBS63,WFBS64,WFBS65,WFBS66,WFBS67,WFBS68,WFBS69,WFBS70,WFBS71,WFBS72,WFBS73,WFBS74,WFBS75,WFBS76,WFBS77
291,21,Q020101,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2101,21,Q020101,N0402NA,N0502NA,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,21,Q020101,N0602NA,P0101NA,P0201NA,P0301NA,P0401NA,P0701NA,P0901NA,P0102NA,P0202NA,P0302NA,P0402NA,P0702NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2121,21,Q020101,N0703NA,P0101NA,P0201NA,P0301NA,P0501NA,P0901NA,P0102NA,P0202NA,P0302NA,P0502NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2131,21,P0101NA,P0201NA,P0301NA,P0401NA,P0501NA,P0601NA,P0701NA,P0801NA,P0901NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2141,21,P0102NA,P0202NA,P0302NA,P0402NA,P0502NA,P0602NA,P0702NA,P0802NA,P0902NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2151,21,Q030201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,21,M020801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,31,M040101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,31,M040301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,31,M040401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,31,M040501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,31,M040601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,31,Q020101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,31,N0102NA,N0202NA,N0302NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
